date,confirmed_cases
2020-03-01,1694
2020-03-02,2036
2020-03-03,2502
2020-03-04,3089
2020-03-05,3858
2020-03-06,4636
2020-03-07,5883
2020-03-08,7375
2020-03-09,9172
2020-03-10,10149
2020-03-11,12462
2020-03-12,15113
2020-03-13,17660
2020-03-14,21157
2020-03-15,24747
2020-03-16,27980
2020-03-17,31506
2020-03-18,35713
2020-03-19,41035
2020-03-20,47021
2020-03-21,53578
2020-03-22,59138
2020-03-23,63927
2020-03-24,69176
2020-03-25,74386
2020-03-26,80589
2020-03-27,86498
2020-03-28,92472
2020-03-29,97689
2020-03-30,101739
2020-03-31,105792
2020-04-01,110574
2020-04-02,115242
2020-04-03,119827
2020-04-04,124632
2020-04-05,128948
2020-04-06,132547
2020-04-07,135586
2020-04-08,139422
2020-04-09,143626
2020-04-10,147577
2020-04-11,152271
2020-04-12,156363
2020-04-13,159516
2020-04-14,162488
2020-04-15,165155
2020-04-16,168941
2020-04-17,172434
2020-04-18,175925
2020-04-19,178972
2020-04-20,181228
2020-04-21,183957
2020-04-22,187327
2020-04-23,189973
2020-04-24,192994
2020-04-25,195351
2020-04-26,197675
2020-04-27,199414
2020-04-28,201505
2020-04-29,203591
2020-04-30,205463
2020-05-01,207428
2020-05-02,209328
2020-05-03,210717
2020-05-04,211938
2020-05-05,213013
2020-05-06,214457
2020-05-07,215858
2020-05-08,217185
2020-05-09,218268
2020-05-10,219070
2020-05-11,219814
2020-05-12,221216
2020-05-13,222104
2020-05-14,223096
2020-05-15,223885
2020-05-16,224760
2020-05-17,225435
2020-05-18,225886
2020-05-19,226699
2020-05-20,227364
2020-05-21,228006
2020-05-22,228658
2020-05-23,229327
2020-05-24,229858
2020-05-25,230158
2020-05-26,230555
2020-05-27,231139
2020-05-28,231732
2020-05-29,232248
2020-05-30,232664
2020-05-31,232997
2020-06-01,233197
2020-06-02,233515
2020-06-03,233836
2020-06-04,234013
2020-06-05,234531
2020-06-06,234801
2020-06-07,234998
2020-06-08,235278
2020-06-09,235561
2020-06-10,235763
2020-06-11,236142
2020-06-12,236305
2020-06-13,236651
2020-06-14,236989
2020-06-15,237290
2020-06-16,237500
2020-06-17,237828
2020-06-18,238159
2020-06-19,238011
2020-06-20,238275
2020-06-21,238499
2020-06-22,238720
2020-06-23,238833
2020-06-24,239410
2020-06-25,239706
2020-06-26,239961
2020-06-27,240136
2020-06-28,240310
2020-06-29,240436
2020-06-30,240578
2020-07-01,240760
2020-07-02,240961
2020-07-03,241184
2020-07-04,241419
2020-07-05,241611
2020-07-06,241819
2020-07-07,241956
2020-07-08,242149
2020-07-09,242363
2020-07-10,242639
2020-07-11,242827
2020-07-12,243061
2020-07-13,243230
2020-07-14,243344
2020-07-15,243506
2020-07-16,243736
2020-07-17,243967
2020-07-18,244216
2020-07-19,244434
2020-07-20,244624
2020-07-21,244752
2020-07-22,245032
2020-07-23,245338
2020-07-24,245590
2020-07-25,245864
2020-07-26,246118
2020-07-27,246286
2020-07-28,246488
2020-07-29,246776
2020-07-30,247158
2020-07-31,247537
